index,reference_id,claim_id,affirmation,entity_label,property_label,object_label,final_url,manual_label
0,5b14a71742a09446d03a95c9426a659cda3bad6f,Q62637091$C1F95944-8A83-4901-80FF-931DB0F448EC,Priscila Farias was born in 1964.,Priscila Farias,date of birth,1964,https://www.lambiek.net/artists/f/farias_priscila.htm,1.A.
1,15bea5900b8dda1bcf6f622348d80ef5a5b7b71e,Q5798066$60E7A7BB-9549-4D96-8395-A4875F72E5C5,Daniel Diaz was born on 14/09/1966.,Daniel Diaz,date of birth,14/09/1966,https://www.lambiek.net/artists/d/dani-the-o.htm,1.B.
2,74188de4f031ca41e7927959f818816dbdfc29af,Q99607134$2818F414-8F79-4677-8D9F-AD9B7E977A4A,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016 was published in 2016.,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,publication date,2016,https://www.bailii.org/uk/legis/num_reg/2016/uksi_201612_en_1.html,1.B.
3,11513fdd381730dfa38bf9fb5a724a129dc8480c,Q99686151$4E1BDE62-B95E-4C12-92F2-192FB49E6449,The Proscribed Organisations (Name Changes) Order 2011 was published in 2011.,The Proscribed Organisations (Name Changes) Order 2011,publication date,2011,https://www.bailii.org/uk/legis/num_reg/2011/uksi_20112688_en_1.html,1.B.
4,99415d84e2b5632a86eaa925c4f7ae791816621e,Q4815670$2BFBD30C-D13D-4A04-A76C-F4C60574852B,Athos Bulcão died on 31/07/2008.,Athos Bulcão,date of death,31/07/2008,http://archive.ph/m6yCn,2.B.
5,9f8174f58e455cc2897776ad60bdca1c828e3a78,Q64399153$1E26EE59-EF07-425E-BD70-A0E7050CE170,Mglc Nhekli is located in Kasaragod district.,Mglc Nhekli,is located in,Kasaragod district,https://schools.org.in/Kasaragod/32010400123/,1.A.
6,99e42300098c2ff31bdaffe9021e93aeaabae7f4,Q881301$29BA41C5-A7B0-4878-AEA5-82FD1D970B85,David Pryor was a United States representative.,David Pryor,held position,United States representative,https://bioguide.congress.gov/search/bio/P000556,1.A.
7,d32ef67a11a7b620b68d5e516488178c209b3227,Q28030623$d7041d47-a51e-49ca-ab55-aea41b25a03e,The Italian female peasant was created in 1824.,Italian female peasant,created,1824,https://www.rct.uk/collection/450005/italian-female-peasant,1.B.
8,41f5efe704e7c88a06a4eb3760fed8245447090b,Q100340021$3F60F24A-34B4-433B-8375-4E22669D608B,Raiffeisen Beograd Loan for SMEs is in the line of credit sector.,Raiffeisen Beograd Loan for SMEs project,sector,line of credit,https://www.eib.org/en/projects/pipelines/all/20080816,1.B.
9,8834e8f522b244dc504fb0073c0cf3fd12019e20,Q100352718$12E7289A-C56A-497F-9554-6C05A76AC9CB,The TRAFFORD PARK METRO LINE EXTENSION project was created on 02/05/2018.,TRAFFORD PARK METRO LINE EXTENSION project,created,02/05/2018,https://www.eib.org/en/projects/pipelines/all/20180016,1.B.
10,e34169282423f6f5fdc23190a7c97cab7cb3487a,Q7740379$DE63E182-51F7-4AB3-89E3-C05A47BDF378,Alyssa Ogawa is one of the characters in The Host.,The Host,characters,Alyssa Ogawa,https://memory-alpha.fandom.com/wiki/The_Host_(episode)?oldid=2432933#Guest_stars,1.B.
11,bd41558ca4f7cb498050400030a42a8ef7c43445,Q5071160$E3A7F082-E6DA-44A0-97DA-184B8201A723,The directions for Chandler Fashion Center are Highway 101 and Highway 202.,Chandler Fashion Center,directions,Highway 101 & Highway 202,https://en.wikivoyage.org/wiki/Chandler_(Arizona)?oldid=3862580,1.A.
12,f45b0bf40a1963402190863450ade972a433c477,Q53645694$49EC5F23-3A23-42E6-B634-E2ADE9251730,Christopher Herrys died in 1628.,Christopher Herrys,date of death,1628,https://www.historyofparliamentonline.org/volume/1604-1629/member/herrys-christopher-1599-1628,1.B.
13,60d94e641e30ec392e1b683287b86d897ce67887,Q28029033$5B89AC07-E6D4-4E61-9A96-8EF2B7CCE745,Dick Whittington and his Cat is part of the Royal Collection.,Dick Whittington and his Cat,art collection,Royal Collection,https://www.rct.uk/collection/408589/dick-whittington-and-his-cat,1.D.
14,11042714163ea289680d4fc44783b33f74a60ab9,Q56758793$F803B479-AF07-4760-8C19-5455E3CC58FE,The Financial System Legislation Amendment (Resilience and Collateral Protection) Act 2016 is cited.,Financial System Legislation Amendment (Resilience and Collateral Protection) Act 2016,citation,Financial System Legislation Amendment (Resilience and Collateral Protection) Act 2016,https://www.legislation.gov.au/Details/C2016A00043,1.D.
15,2dc6c9abe3bb132696bd0c093a46243cca880e5b,Q95107933$A08A0D97-DF6A-4971-A066-8271D12BE914,Feiga Furmanski died of homicide.,Feiga Furmanski,nature of death,homicide,https://yvng.yadvashem.org/nameDetails.html?itemId=1012336,1.A.
16,e004706cba4821386dc31a86faeb680e8fff4ae7,Q58480207$B8B66EE1-CD20-4426-846C-4B37DC5A55A4,Laila Majnu is in black and white.,Laila Majnu,color,black and white,https://indiancine.ma/ATB,1.B.
17,9b4af99ab871962e4111a509fa4498f45691d1ca,Q101016161$793A1293-475B-44B0-9DCF-73DB9C9837FD,The University of North Carolina at Charlotte Department of History is devoted to the study of history.,University of North Carolina at Charlotte Department of History,field of work,history,https://history.charlotte.edu/,1.D.
18,f51c845aea32b1f13eea422aaa07416c62427bc2,Q44944$1326FAAF-C269-4F8D-A89B-ACFA196BC9E3,The chemical formula for tegaserod is C16H23N5O.,tegaserod,chemical formula,C₁₆H₂₃N₅O,https://go.drugbank.com/drugs/DB01079,1.B.
19,409c8e466399cdce0ef46d7101d95b6a8ee90920,Q64565682$02FB353D-6F58-4F60-896C-1B0ABA18B9FA,Glps Vendekkumpotty is found in India.,Glps Vendekkumpotty,land,India,https://schools.org.in/malappuram/32050400111/,1.B.
20,ae31879d7f2c5c8f883a4b7fb6d013393bdf7d2d,Q94975710$3CCF9E4D-AF0D-41C6-B440-58DC97579B2C,Isser Khadash died on 01/01/1941.,Isser Khadash,date of death,01/01/1941,https://yvng.yadvashem.org/nameDetails.html?itemId=1023565,2.B.
21,2fdf32f7a1dbd9e71de16a5923966c20ec1f0248,Q21536896$FBCF17E6-B4E4-4117-A417-F078C59E1C01,Norah Margaret Martin was born on 18/06/1888.,Norah Margaret Martin,date of birth,18/06/1888,https://adb.anu.edu.au/biography/martin-norah-margaret-11073,1.A.
22,dffacd297fe5d6a3432b9cfce98c729317de5471,Q56827879$C2D8557D-6A2A-4350-ACE4-3677B20CA932,The International Development Association Act 1963 is cited.,International Development Association Act 1963,citation,International Development Association Act 1963,https://www.legislation.gov.au/Details/C1963A00051,1.D.
23,2c07d74dc23c5a2dbdf42ad6ee74be8973d55730,Q56632643$AC2C4764-B7B5-45FA-8ABF-65049C6A16BB,12 Greenhill Terrace is located in Edinburgh.,Edinburgh. 12 Greenhill Terrace,location,Edinburgh,http://portal.historicenvironment.scot/designation/LB30523,1.D.
24,b8db0a114090131c54048bd969074aa5e275ddcb,Q100563556$D84F6934-F8AB-4151-BD8D-A470970DAF82,"William Norton is the author of the Emergency Powers (Dundalk Gas Charges) Order, 1943 (Revocation) Order, 1955.","Emergency Powers (Dundalk Gas Charges) Order, 1943 (Revocation) Order, 1955",author,William Norton,https://www.irishstatutebook.ie/eli/1955/si/159/made/en,1.D.
25,b54d58ecebc38914c9c82934d01df6e8ebabf0c5,Q5201108$de21a0ef-4213-5797-1683-eeb04628d93d,Cyrus K. Bettis won the Pulitzer Trophy.,Cyrus K. Bettis,award received,Pulitzer Trophy,https://www.nytimes.com/1925/10/13/archives/pulitzer-race-won-at-249mile-speed-disappoints-fliers-lieut-bettis.html,2.B.
26,a4e566bff1fddfb55c159d5faeddd47db2864d2b,Q22673227$c1c1794f-490d-264c-f926-1fd080ea11e3,Jean-Baptiste Côté died in Quebec City.,Jean-Baptiste Côté,place of death,Quebec City,http://www.biographi.ca/en/bio/cote_jean_baptiste_13E.html,1.D.
27,a9ced32114af2b9592e5a4489c271843cf1f5aee,Q86602567$3ED5D7BC-3340-4E2C-AD9E-40B0D7D4B0B3,"xB is featured in Et in Arcadia Ego, Part 2.",xB,featured in work,"Et in Arcadia Ego, Part 2","https://memory-alpha.fandom.com/wiki/Et_in_Arcadia_Ego,_Part_2_(episode)?oldid=2486799#References",1.D.
28,fa3dbf3fc3baa365e9b90114a310f42b757d2809,Q24287194$7A6EF5A8-643D-4F25-8F88-F3156D934D31,Arka Gdynia won the 2016–17 Polish Cup.,2016–17 Polish Cup,won by,Arka Gdynia,https://en.wikipedia.org/w/index.php?title=2016%E2%80%9317_Polish_Cup&oldid=893822928,1.D.
29,3d897bb1416eceba9e45d88a401d412f5b54b3cb,Q96313680$2e9568fe-4279-77c8-4f93-ed7026ec94d8,Nero is a character in Star Trek.,Nero,featured in work,Star Trek,https://memory-alpha.fandom.com/wiki/Nero,1.D.
